,d40_baseline,d40_vol_scaled,d40_resid_250d,d40_deep_only,d40_bounce_conf,d40_low_vol_surrender,p_top1_conviction,p_top3_diversified
2023-02-10,-0.016078866321624398,-0.014426300176761421,-0.016078866321624398,-0.012509226724586429,-0.012509226724586429,-0.006455597860882345,-0.01344688480502021,-0.010600258455822166
2023-02-13,0.0018999166498262496,0.0018999166498262496,0.0018999166498262496,0.006673403681252798,0.006673403681252798,0.0003823812491258183,-0.003180372557928357,0.002980587249744482
2023-02-14,-0.00041807883193475037,-0.00041807883193475037,-0.00041807883193475037,0.0008348650483625357,0.0008348650483625357,0.0014295298241845387,0.005925250683682881,0.004850712605080965
2023-02-15,-0.013172907014025403,-0.013172907014025403,-0.013172907014025403,-0.002771959676750961,-0.002771959676750961,-0.011915173192953283,-0.0104213864975079,-0.012105242092929512
2023-02-16,-0.014094145926173047,-0.014094145926173047,-0.014094145926173047,-0.021696124825765883,-0.021696124825765883,-0.014027542188555026,-0.014652014652014711,-0.01259495097537777
2023-02-17,-0.001027690925129739,-0.001027690925129739,-0.001027690925129739,-0.019215686783776015,-0.019215686783776015,-0.001221243602331409,0.02091078066914509,0.006049449909972841
2023-02-20,0.012758221184708075,0.012758221184708075,0.012758221184708075,0.007113448073281884,0.007113448073281884,0.020552572837775413,0.0241238051888939,0.020144947882651566
2023-02-21,0.0119793272926841,0.0119793272926841,0.0119793272926841,0.0037148492830979167,0.0037148492830979167,0.01553239066364309,0.026666666666666616,0.019209335419906694
2023-02-22,-0.0049516201087034615,-0.0049516201087034615,-0.0049516201087034615,-0.0054851575203750755,-0.0054851575203750755,-0.003738716202109637,0.0051948051948051965,-0.0007427934729117291
2023-02-23,0.005801816148485924,0.005801816148485924,0.005801816148485924,0.0008178576128218633,0.0008178576128218633,0.012054821960027532,0.006459948320413522,0.0030451110243323956
2023-02-24,-0.009863698589210768,-0.009863698589210768,-0.009863698589210768,-0.00942654194433823,-0.00942654194433823,-0.01066695438934743,-0.004278990158322671,-0.005496886362136521
2023-02-27,-0.0019142621357483383,-0.0019142621357483383,-0.0019142621357483383,-0.011609534799262114,-0.011609534799262114,0.002786300928967478,0.005586592178770777,-0.001849978390381886
