round,label,rsrs_N,rsrs_M,rsrs_form,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,trend_ma_window,exclude_buckets
6,refine L=120 λs=0.2 rb=0.1,30.0,250.0,rsrs_skew,120.0,0.2,0.0,0.3,3.0,-0.7,0.7,0.1,0.05401089359228406,0.1431967550776154,0.3771795915557522,0.9923322668730898,-0.3613395597665652,0.1494740670719157,0.4977792769171591,0.48952095808383234,72.29752994011976,2672,200.0,
6,refine L=120 λs=0.2 rb=0.2,30.0,250.0,rsrs_skew,120.0,0.2,0.0,0.3,3.0,-0.7,0.7,0.2,0.05401089359228406,0.1431967550776154,0.3771795915557522,0.9923322668730898,-0.3613395597665652,0.1494740670719157,0.4977792769171591,0.48952095808383234,72.29752994011976,2672,200.0,
6,refine L=120 λs=0.2 rb=0.3,30.0,250.0,rsrs_skew,120.0,0.2,0.0,0.3,3.0,-0.7,0.7,0.3,0.05401089359228406,0.1431967550776154,0.3771795915557522,0.9923322668730898,-0.3613395597665652,0.1494740670719157,0.4977792769171591,0.48952095808383234,72.29752994011976,2672,200.0,
6,refine L=120 λs=0.2 rb=0.4,30.0,250.0,rsrs_skew,120.0,0.2,0.0,0.3,3.0,-0.7,0.7,0.4,0.06413748715701306,0.14303421586882484,0.4484066051428762,0.991024747152512,-0.31653107327169183,0.20262619557088848,0.5893745521933884,0.49513473053892215,64.36751497005989,2672,200.0,
6,refine L=120 λs=0.3 rb=0.0,30.0,250.0,rsrs_skew,120.0,0.3,0.0,0.3,3.0,-0.7,0.7,0.0,0.0636580737681609,0.14416998290757477,0.441548736320314,1.046270119482142,-0.3300044789611867,0.19290063567788127,0.5868967639814359,0.4865269461077844,71.13435628742515,2672,200.0,
6,refine L=120 λs=0.3 rb=0.1,30.0,250.0,rsrs_skew,120.0,0.3,0.0,0.3,3.0,-0.7,0.7,0.1,0.0636580737681609,0.14416998290757477,0.441548736320314,1.046270119482142,-0.3300044789611867,0.19290063567788127,0.5868967639814359,0.4865269461077844,71.13435628742515,2672,200.0,
6,refine L=120 λs=0.3 rb=0.2,30.0,250.0,rsrs_skew,120.0,0.3,0.0,0.3,3.0,-0.7,0.7,0.2,0.0636580737681609,0.14416998290757477,0.441548736320314,1.046270119482142,-0.3300044789611867,0.19290063567788127,0.5868967639814359,0.4865269461077844,71.13435628742515,2672,200.0,
6,refine L=120 λs=0.3 rb=0.3,30.0,250.0,rsrs_skew,120.0,0.3,0.0,0.3,3.0,-0.7,0.7,0.3,0.0636580737681609,0.14416998290757477,0.441548736320314,1.046270119482142,-0.3300044789611867,0.19290063567788127,0.5868967639814359,0.4865269461077844,71.13435628742515,2672,200.0,
6,refine L=120 λs=0.3 rb=0.4,30.0,250.0,rsrs_skew,120.0,0.3,0.0,0.3,3.0,-0.7,0.7,0.4,0.07558776620330443,0.14409106026720905,0.52458331601649,1.0611047320463018,-0.31046894731644237,0.24346320898322354,0.6925997089064722,0.4966317365269461,63.644461077844305,2672,200.0,
6,refine L=120 λs=0.5 rb=0.0,30.0,250.0,rsrs_skew,120.0,0.5,0.0,0.3,3.0,-0.7,0.7,0.0,0.06814092282970785,0.14130651704817138,0.4822206664854574,1.0910657296325568,-0.3098151597491543,0.21994056999947645,0.65323304688043,0.48540419161676646,70.12836826347305,2672,200.0,
6,refine L=120 λs=0.5 rb=0.1,30.0,250.0,rsrs_skew,120.0,0.5,0.0,0.3,3.0,-0.7,0.7,0.1,0.06814092282970785,0.14130651704817138,0.4822206664854574,1.0910657296325568,-0.3098151597491543,0.21994056999947645,0.65323304688043,0.48540419161676646,70.12836826347305,2672,200.0,
6,refine L=120 λs=0.5 rb=0.2,30.0,250.0,rsrs_skew,120.0,0.5,0.0,0.3,3.0,-0.7,0.7,0.2,0.06814092282970785,0.14130651704817138,0.4822206664854574,1.0910657296325568,-0.3098151597491543,0.21994056999947645,0.65323304688043,0.48540419161676646,70.12836826347305,2672,200.0,
6,refine L=120 λs=0.5 rb=0.3,30.0,250.0,rsrs_skew,120.0,0.5,0.0,0.3,3.0,-0.7,0.7,0.3,0.06814092282970785,0.14130651704817138,0.4822206664854574,1.0910657296325568,-0.3098151597491543,0.21994056999947645,0.65323304688043,0.48540419161676646,70.12836826347305,2672,200.0,
6,refine L=120 λs=0.5 rb=0.4,30.0,250.0,rsrs_skew,120.0,0.5,0.0,0.3,3.0,-0.7,0.7,0.4,0.07410992650029646,0.14071073286274366,0.5266828264805288,1.071951793395341,-0.29546380656972204,0.25082573517446505,0.7103119817775246,0.49513473053892215,63.26721556886227,2672,200.0,
6,refine L=120 λs=0.7 rb=0.0,30.0,250.0,rsrs_skew,120.0,0.7,0.0,0.3,3.0,-0.7,0.7,0.0,0.07204348087642742,0.14227129110682774,0.5063810155650579,1.1020053749396148,-0.2801778907272573,0.2571347820822845,0.6913960103071792,0.4812874251497006,69.05950598802396,2672,200.0,
6,refine L=120 λs=0.7 rb=0.1,30.0,250.0,rsrs_skew,120.0,0.7,0.0,0.3,3.0,-0.7,0.7,0.1,0.07204348087642742,0.14227129110682774,0.5063810155650579,1.1020053749396148,-0.2801778907272573,0.2571347820822845,0.6913960103071792,0.4812874251497006,69.05950598802396,2672,200.0,
6,refine L=120 λs=0.7 rb=0.2,30.0,250.0,rsrs_skew,120.0,0.7,0.0,0.3,3.0,-0.7,0.7,0.2,0.07204348087642742,0.14227129110682774,0.5063810155650579,1.1020053749396148,-0.2801778907272573,0.2571347820822845,0.6913960103071792,0.4812874251497006,69.05950598802396,2672,200.0,
6,refine L=120 λs=0.7 rb=0.3,30.0,250.0,rsrs_skew,120.0,0.7,0.0,0.3,3.0,-0.7,0.7,0.3,0.07204348087642742,0.14227129110682774,0.5063810155650579,1.1020053749396148,-0.2801778907272573,0.2571347820822845,0.6913960103071792,0.4812874251497006,69.05950598802396,2672,200.0,
6,refine L=120 λs=0.7 rb=0.4,30.0,250.0,rsrs_skew,120.0,0.7,0.0,0.3,3.0,-0.7,0.7,0.4,0.0784135215961026,0.14224997397761577,0.5512375110060943,1.0862066239767554,-0.26066982039308706,0.3008154970830759,0.7474737036876553,0.4936377245508982,62.63847305389221,2672,200.0,
6,refine L=150 λs=0.0 rb=0.0,30.0,250.0,rsrs_skew,150.0,0.0,0.0,0.3,3.0,-0.7,0.7,0.0,0.10383840899248065,0.14400544499996706,0.7210727968828151,1.306857650580947,-0.196952559467946,0.5272254865486038,0.9440719731750749,0.5044910179640718,66.56025449101797,2672,200.0,
6,refine L=150 λs=0.0 rb=0.1,30.0,250.0,rsrs_skew,150.0,0.0,0.0,0.3,3.0,-0.7,0.7,0.1,0.10383840899248065,0.14400544499996706,0.7210727968828151,1.306857650580947,-0.196952559467946,0.5272254865486038,0.9440719731750749,0.5044910179640718,66.56025449101797,2672,200.0,
6,refine L=150 λs=0.0 rb=0.2,30.0,250.0,rsrs_skew,150.0,0.0,0.0,0.3,3.0,-0.7,0.7,0.2,0.10383840899248065,0.14400544499996706,0.7210727968828151,1.306857650580947,-0.196952559467946,0.5272254865486038,0.9440719731750749,0.5044910179640718,66.56025449101797,2672,200.0,
6,refine L=150 λs=0.0 rb=0.3,30.0,250.0,rsrs_skew,150.0,0.0,0.0,0.3,3.0,-0.7,0.7,0.3,0.10383840899248065,0.14400544499996706,0.7210727968828151,1.306857650580947,-0.196952559467946,0.5272254865486038,0.9440719731750749,0.5044910179640718,66.56025449101797,2672,200.0,
6,refine L=150 λs=0.0 rb=0.4,30.0,250.0,rsrs_skew,150.0,0.0,0.0,0.3,3.0,-0.7,0.7,0.4,0.10516966791136384,0.14420988845247557,0.729281944809371,1.2471535397308082,-0.19066452292758507,0.5515953691673808,0.9489463180382383,0.5041167664670658,59.95845808383234,2672,200.0,
6,refine L=150 λs=0.2 rb=0.0,30.0,250.0,rsrs_skew,150.0,0.2,0.0,0.3,3.0,-0.7,0.7,0.0,0.10116879658344402,0.1442826575040073,0.7011847323413362,1.3142006841640588,-0.24209905752866645,0.417881827447696,0.9232652463536201,0.4981287425149701,69.43675149700599,2672,200.0,
6,refine L=150 λs=0.2 rb=0.1,30.0,250.0,rsrs_skew,150.0,0.2,0.0,0.3,3.0,-0.7,0.7,0.1,0.10116879658344402,0.1442826575040073,0.7011847323413362,1.3142006841640588,-0.24209905752866645,0.417881827447696,0.9232652463536201,0.4981287425149701,69.43675149700599,2672,200.0,
6,refine L=150 λs=0.2 rb=0.2,30.0,250.0,rsrs_skew,150.0,0.2,0.0,0.3,3.0,-0.7,0.7,0.2,0.10116879658344402,0.1442826575040073,0.7011847323413362,1.3142006841640588,-0.24209905752866645,0.417881827447696,0.9232652463536201,0.4981287425149701,69.43675149700599,2672,200.0,
6,refine L=150 λs=0.2 rb=0.3,30.0,250.0,rsrs_skew,150.0,0.2,0.0,0.3,3.0,-0.7,0.7,0.3,0.10116879658344402,0.1442826575040073,0.7011847323413362,1.3142006841640588,-0.24209905752866645,0.417881827447696,0.9232652463536201,0.4981287425149701,69.43675149700599,2672,200.0,
6,refine L=150 λs=0.2 rb=0.4,30.0,250.0,rsrs_skew,150.0,0.2,0.0,0.3,3.0,-0.7,0.7,0.4,0.10281155103861161,0.14399735634638933,0.7139822122240619,1.2497323574175332,-0.2328015427286384,0.4416274472822216,0.9208980668510185,0.5067365269461078,61.703218562874255,2672,200.0,
