round,label,rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,theta_off,theta_on,rebal_threshold,rsrs_form,trend_ma_window,exclude_buckets,reversal_L,reversal_w,ann_ret,ann_vol,sharpe_net,sharpe_gross,max_dd,calmar,sortino,win_rate,ann_turnover,n_days,multi_horizon_mom,multi_horizon_w,multi_rsrs,multi_rsrs_w,vol_target,vol_lb,skip_mom,bucket_relative
12,br=False k=3 wr=0.2 L=120,30,250,120,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.08807489607043917,0.14143823959685184,0.6227092215053245,1.16197393719862,-0.2661750103618826,0.3308909275543767,0.8213877002510716,0.49513473053892215,62.214071856287426,2672,,,,,,,,False
12,br=False k=3 wr=0.2 L=180,30,250,180,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.11100400727254023,0.14402910981873962,0.7707053623551418,1.2974605935627206,-0.25831071296072083,0.4297305597597096,1.0120643404159324,0.501122754491018,60.66579341317365,2672,,,,,,,,False
12,br=False k=3 wr=0.2 L=252,30,250,252,0.2,0.0,0.2,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.06177853683922607,0.13177290634087546,0.4688257894184626,1.024327990145312,-0.3028464984121927,0.20399290453456617,0.5895931487433201,0.501122754491018,61.443862275449106,2672,,,,,,,,False
12,br=False k=3 wr=0.3 L=120,30,250,120,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.07524072342534582,0.14355919379728865,0.5241094034812479,1.0687824995008786,-0.2755014882354808,0.2731045988435276,0.6891873205708652,0.4962574850299401,64.21032934131736,2672,,,,,,,,False
12,br=False k=3 wr=0.3 L=180,30,250,180,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.10942670426903112,0.14393982769382718,0.7602253387560769,1.299068500297471,-0.2187970277533422,0.5001288426659607,1.0106705972513843,0.5,61.766092814371255,2672,,,,,,,,False
12,br=False k=3 wr=0.3 L=252,30,250,252,0.2,0.0,0.3,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.059087943741179316,0.13624198906362067,0.43369848126326993,0.9937623805794429,-0.3483567544576781,0.16961905570962,0.5611422060485691,0.4940119760479042,63.51871257485029,2672,,,,,,,,False
12,br=False k=3 wr=0.4 L=120,30,250,120,0.2,0.0,0.4,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.07505488108779867,0.1463313724077062,0.5129103886122378,1.0612621240119136,-0.29326126866410085,0.25593178884377654,0.6910356391646518,0.49738023952095806,65.687874251497,2672,,,,,,,,False
12,br=False k=3 wr=0.4 L=180,30,250,180,0.2,0.0,0.4,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.11015733338685796,0.1434225545709033,0.7680614371737456,1.3370563542283047,-0.2010880271234039,0.5478065251456095,1.0191796994963893,0.5014970059880239,64.249625748503,2672,,,,,,,,False
12,br=False k=3 wr=0.4 L=252,30,250,252,0.2,0.0,0.4,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.07198049973789278,0.13781120150052262,0.5223124024328298,1.0965180892347666,-0.3293336628039434,0.21856405180403227,0.6985554098127761,0.49550898203592814,64.68188622754491,2672,,,,,,,,False
12,br=False k=3 wr=0.5 L=120,30,250,120,0.2,0.0,0.5,3,-0.7,0.7,0.4,rsrs_skew,200,[],5,0.1,0.0690095458804807,0.14364298014587987,0.4804240750950481,1.053306016482177,-0.3073968256626738,0.2244966119338177,0.6457205283961078,0.499625748502994,67.32260479041916,2672,,,,,,,,False
