rsrs_N,rsrs_M,mom_L,lambda_s,lambda_k,w_rsrs,top_k,rebal_threshold,theta_off,theta_on,ann_ret,ann_vol,sharpe,max_dd,calmar,sortino,win_rate,n,gross_sharpe,ann_turnover,ann_capped_turnover
14,600,180,0.0,0.0,0.3,8,0.1,-1.0,0.5,0.07532558492666319,0.14350345669457845,0.5249043239911655,-0.32023829009175975,0.23521729679820522,0.6336388515492911,0.5059880239520959,2672,1.2703895294187861,86.61657934131738,86.61657934131738
30,600,252,0.5,0.2,0.3,5,0.0,-0.5,1.0,0.06651288036081149,0.1281374222403484,0.5190745934942622,-0.18041730542446155,0.36866131108836225,0.6457086460285146,0.4962574850299401,2672,1.0516277124303224,57.40261976047904,57.402619760479055
14,600,120,0.0,0.0,0.4,8,0.2,-1.0,0.5,0.0725173540324977,0.1420062353501064,0.5106631680905508,-0.35724232779136367,0.20299205438737714,0.6439769608850576,0.5071107784431138,2672,1.2874243813018342,89.20385479041916,89.20385479041916
24,600,252,0.3,0.2,0.5,3,0.4,-0.5,1.0,0.0701078325104052,0.1373252629505027,0.510523926946164,-0.26534100735675803,0.2642178576496597,0.6636264900481674,0.49139221556886226,2672,1.10543989372604,69.02806886227545,69.02806886227545
24,250,180,0.3,0.0,0.3,8,0.2,-0.7,0.7,0.06532538956441991,0.12960087643688156,0.504050523116908,-0.3074364696557179,0.21248419108368766,0.616368797873964,0.5052395209580839,2672,1.1678580080218077,71.65452844311378,71.65452844311378
24,250,180,0.5,0.2,0.5,5,0.1,-0.7,0.7,0.07044339047200499,0.13991273655613465,0.5034808996373412,-0.33028911846709175,0.21327796325516424,0.6272778018836586,0.5041167664670658,2672,1.2348571613958195,82.4438622754491,82.44386227544909
30,600,252,0.5,0.0,0.4,3,0.4,-1.0,0.5,0.07633602073237866,0.15169109800352518,0.5032333586945535,-0.3768718177017162,0.20255168242056387,0.665705453536724,0.4898952095808383,2672,0.9814842186951758,58.28443113772455,58.283743631143075
14,600,180,0.5,0.2,0.4,5,0.1,-0.5,1.0,0.06262621705975913,0.12456452355927668,0.5027612619571985,-0.2575968444404927,0.2431171748077309,0.6638601487424187,0.48353293413173654,2672,1.5192413140622962,105.05344311377245,105.05344311377247
30,250,120,0.3,0.2,0.5,3,0.4,-1.0,0.5,0.07833125555107956,0.15615130417148548,0.5016368961290013,-0.2764649453009622,0.2833316009225237,0.660255211597718,0.5,2672,1.0572406677361867,69.46818862275448,69.46818862275448
30,250,180,0.5,0.0,0.5,5,0.2,-1.0,0.5,0.07392813464912829,0.14778120259830244,0.5002539791889439,-0.3256058383239333,0.2270479394032852,0.6633899724411716,0.4958832335329341,2672,1.0609868445864292,66.19244011976048,66.19244011976048
14,600,180,0.5,0.0,0.4,5,0.4,-0.7,0.7,0.06834807154215916,0.13682053970031427,0.49954540226098937,-0.22935860616799986,0.29799654211403687,0.6457628867317957,0.4861526946107784,2672,1.3108484068245296,92.28997005988023,92.28997005988025
30,600,60,0.0,0.0,0.4,8,0.0,-0.5,1.0,0.06155836547987148,0.12339610909224999,0.4988679621482304,-0.29685156938778556,0.2073708608205337,0.6635420148811231,0.5022455089820359,2672,1.1340670572936469,64.72668413173653,64.72171038448623
18,600,120,0.5,0.2,0.3,5,0.0,-0.5,1.0,0.062195048149627175,0.12607169200841217,0.49333079582589556,-0.3891049528559508,0.15984131708714638,0.6452210144762413,0.49288922155688625,2672,1.31327076292594,87.06197604790421,87.06197604790418
30,600,180,0.5,0.2,0.4,8,0.2,-0.5,1.0,0.058359219876060076,0.11832511079573423,0.49321077735398156,-0.23775876770586157,0.24545559534636383,0.6248671152131632,0.5,2672,1.0357622922746224,54.804565868263474,54.804565868263474
14,600,180,0.5,0.0,0.3,8,0.1,-0.5,1.0,0.055244329085410104,0.11359280416509933,0.48633652009432105,-0.29571475716199647,0.18681627395127437,0.6465510390984016,0.48577844311377244,2672,1.4930057873821516,97.39681886227545,97.39681886227545
18,250,252,0.3,0.2,0.5,5,0.1,-0.5,1.0,0.0603878876365429,0.12658705803664702,0.4770462997809822,-0.31890720036517006,0.1893588089807779,0.6262652121271443,0.4921407185628742,2672,1.3459080668735446,91.22110778443115,91.22110778443114
18,600,120,0.3,0.2,0.4,3,0.0,-0.5,1.0,0.062131956124898746,0.13045117950860466,0.47628512336142176,-0.3140712491082932,0.19782758307646098,0.6398361389783053,0.4824101796407186,2672,1.3580292023535945,95.39595808383234,95.39595808383234
18,600,252,0.3,0.2,0.4,8,0.0,-1.0,0.5,0.06704124066361938,0.14080008233783173,0.4761448967250071,-0.30264866650028166,0.22151507039122206,0.5703936976167845,0.5044910179640718,2672,1.1338483010078628,76.07952844311377,76.07952844311377
30,600,120,0.3,0.2,0.3,3,0.1,-0.5,1.0,0.06253597546201428,0.13289765899402667,0.4705573893128176,-0.26806182740177553,0.23328937233679423,0.6223335739197123,0.48952095808383234,2672,1.0671691496498046,65.76646706586826,65.76577955928678
24,600,252,0.0,0.2,0.4,3,0.2,-0.7,0.7,0.06706820538743652,0.14294539469254702,0.4691875910496427,-0.29014442697731235,0.23115455322076847,0.578636241038839,0.4958832335329341,2672,1.1168079251541951,75.22118263473054,75.22049512814907
18,600,120,0.5,0.2,0.3,8,0.2,-1.0,0.5,0.0637459841621244,0.13625918750160357,0.46782888795204514,-0.28653967747764275,0.22246826241750825,0.5912583806516749,0.49925149700598803,2672,1.1539970637001118,77.23473053892216,77.23473053892215
30,250,120,0.5,0.0,0.5,3,0.0,-0.7,0.7,0.06941546092625694,0.14878457457793604,0.46655011867440516,-0.2071880776948637,0.33503598131012435,0.6333907020573876,0.4842814371257485,2672,1.0933734873383414,74.7181886227545,74.7181886227545
14,600,252,0.0,0.2,0.4,8,0.2,-1.0,0.5,0.06712237990164716,0.14433264230657836,0.4650533575008754,-0.27805454654843986,0.24140004446916594,0.5600787901667655,0.5033682634730539,2672,1.1609878795594706,82.72702095808383,82.72702095808384
30,250,252,0.3,0.0,0.3,3,0.0,-0.7,0.7,0.06630143608097172,0.14281006339597566,0.46426305334754214,-0.2828046067378759,0.23444256034494082,0.5963942566856663,0.49251497005988026,2672,1.0364703385705571,66.88248502994011,66.88248502994011
24,600,120,0.3,0.0,0.4,3,0.0,-1.0,0.5,0.07248070055448763,0.1562043720972735,0.46401198366811114,-0.4044514138604317,0.1792074352334921,0.6027972366638825,0.4861526946107784,2672,1.1351484195005728,82.46744011976048,82.46744011976048
24,250,60,0.0,0.0,0.5,8,0.4,-0.5,1.0,0.056859453459057185,0.1227264807966143,0.4633022399891531,-0.2834654666051727,0.20058687973535191,0.5833753875337826,0.5074850299401198,2672,1.1311087020284745,70.44790419161677,70.4422740826844
30,600,252,0.0,0.2,0.5,5,0.2,-0.7,0.7,0.06451128621597113,0.13958416550996391,0.4621676533314671,-0.2743376302462939,0.23515288864329117,0.5619237099454729,0.5059880239520959,2672,0.9779885014666632,59.68023952095809,59.6788327221164
14,600,252,0.3,0.2,0.5,5,0.2,-1.0,0.5,0.0715647008394229,0.15487385780241036,0.4620838006807183,-0.3515265669117247,0.20358262383450018,0.5659582984215666,0.5,2672,1.2168674554702894,93.31953592814372,93.31953592814372
18,600,60,0.0,0.0,0.4,5,0.1,-0.7,0.7,0.06415782797438574,0.1395356710245524,0.45979517282786186,-0.40549349318486183,0.15822159677698355,0.615949589675398,0.49700598802395207,2672,1.3261159541614618,97.29947604790421,97.29947604790421
