,gold_only,reversal_ensemble_only,winner_55gold
2021-01-20,1.3245243128964064,2.4374494204763124,1.7696077183172176
2021-01-21,1.337209302325582,2.45373641193736,1.7842498948522405
2021-01-22,1.33016208597604,2.4032495308784823,1.7625578218529048
2021-01-25,1.3245243128964064,2.381648271748411,1.7513199551228409
2021-01-26,1.3280479210711775,2.345272467538332,1.7418455539286435
2021-01-27,1.3210007047216354,2.351203258808371,1.738744070206197
2021-01-28,1.3150105708245248,2.274108908859452,1.708752141231958
2021-01-29,1.3210007047216352,2.241597240676633,1.7020400940406109
2021-02-01,1.3357998590556732,2.2444126409298675,1.7134894350345233
2021-02-02,1.324171952078929,2.248367157340234,1.7066444169561328
2021-02-03,1.3104298801973222,2.211988605474615,1.6844771239877945
2021-02-04,1.3009161381254406,2.1886523548941215,1.669754015284447
2021-02-05,1.2854122621564483,2.1885848805175345,1.6587860923899793
2021-02-08,1.2973925299506697,2.2026900552067863,1.6720999973960968
2021-02-09,1.3118393234672305,2.2366316794563184,1.6939351405610046
2021-02-10,1.312544045102185,2.2431730857132983,1.6966650211876455
2021-02-18,1.2737843551797046,2.2632131966583726,1.6759294154827247
2021-02-19,1.2706131078224105,2.294947253893786,1.6842092820653751
2021-02-22,1.2847075405214945,2.2783310734532236,1.6889971410875195
2021-02-23,1.2973925299506701,2.276937601457007,1.6977045632621588
2021-02-24,1.2938689217758992,2.272753208698779,1.6937646474024024
2021-02-25,1.2818886539816778,2.312871004378043,1.6985929611736383
2021-02-26,1.2621564482029604,2.2780931424866764,1.6727188235864743
2021-03-01,1.2565186751233268,2.294912897819314,1.674166961814649
2021-03-02,1.2343199436222698,2.27373970234777,1.6509487203548687
2021-03-03,1.2399577167019034,2.2939534954675755,1.661700823336933
2021-03-04,1.2286821705426363,2.2578419099950082,1.64161858044897
2021-03-05,1.217054263565892,2.2595801878730253,1.6336426137005875
2021-03-08,1.2300916138125448,2.191758726586961,1.6212023230833823
2021-03-09,1.2258632840028196,2.130364511454164,1.5977018563001573
2021-03-10,1.2371388301620867,2.1346068020647895,1.6072162191142048
2021-03-11,1.249119097956308,2.173617597882839,1.6289940767970008
2021-03-12,1.2318534178999303,2.1642534893430097,1.6134520224614448
2021-03-15,1.2434813248766743,2.1198361896016658,1.6069275934847242
2021-03-16,1.2441860465116286,2.1372060094662975,1.6133536615945425
2021-03-17,1.2491190979563078,2.1584811191672357,1.6240990357184162
2021-03-18,1.2593375616631437,2.1780095641751727,1.6380185124351563
2021-03-19,1.2547568710359416,2.1575106290947823,1.6278040613213727
2021-03-22,1.2470049330514454,2.177976132181293,1.629221299175294
2021-03-23,1.2522903453136018,2.1834310075710572,1.634855504395501
2021-03-24,1.2501761804087392,2.176502537623572,1.6310030121814145
2021-03-25,1.253347427766033,2.1685955988874257,1.6306121638180109
2021-03-26,1.2508809020436933,2.196723878377662,1.6383648410279752
2021-03-29,1.2505285412262164,2.2092895163029613,1.6423282875993572
2021-03-30,1.2346723044397472,2.210111403242052,1.6311499622893468
2021-03-31,1.2216349541930946,2.176606791586076,1.6105493366909023
2021-04-01,1.2459478505990143,2.202497100366037,1.6367992361147377
2021-04-02,1.2614517265680065,2.2297879469697257,1.6571279243924442
2021-04-06,1.2547568710359418,2.231948597885997,1.6530133633205744
2021-04-07,1.2596899224806213,2.226622158830685,1.654812520229053
2021-04-08,1.2625088090204382,2.2205877841818236,1.6548310922413678
2021-04-09,1.269203664552503,2.2013791675713166,1.6532158819612262
2021-04-12,1.261451726568007,2.1545722739720694,1.6318441254553846
