,baseline_k40_monthly,D1_regime_breadth,D1b_regime_mom200,D2_ensemble_k40_k80,D3_stoploss_20dlow,D4_disp_gt_Q75,D5_breadth_and_disp
2021-05-06,2.3556758470520833,2.0901021762294785,1.823821295300905,2.2121771348791426,2.0104416503315776,1.1365588606550485,1.1159679043083384
2021-05-07,2.297275009243873,2.0382853193604333,1.778605952200402,2.1692511801694647,1.9789447311430495,1.1365588606550485,1.1159679043083384
2021-05-10,2.262761636272588,2.0076629075177452,1.7518848629314927,2.1398792600197862,1.966847834468051,1.1365588606550485,1.1159679043083384
2021-05-11,2.2896341092816486,2.031505837514753,1.7726901823869075,2.1695097075928746,1.966847834468051,1.1365588606550485,1.1159679043083384
2021-05-12,2.310335817452514,2.0498736810165408,1.7887179462485514,2.180352988041737,1.966847834468051,1.1365588606550485,1.1159679043083384
2021-05-13,2.3063508408535314,2.046337961841859,1.7856326808494112,2.174774106869295,1.966847834468051,1.1365588606550485,1.1159679043083384
2021-05-14,2.366059572866001,2.099315263823088,1.831860627320074,2.2494150180342762,1.966847834468051,1.1365588606550485,1.1159679043083384
2021-05-17,2.3722617388807063,2.104818211395817,1.8366624944652357,2.250109260593052,1.966847834468051,1.1365588606550485,1.1159679043083384
2021-05-18,2.386559869201348,2.1175044022130227,1.8477324532604609,2.2644638636030407,1.966847834468051,1.1365588606550485,1.1159679043083384
2021-05-19,2.3951836958107826,2.12515599773554,1.8544092286907274,2.2684409914675947,1.966847834468051,1.1365588606550485,1.1159679043083384
2021-05-20,2.396147221178325,2.1260108973899525,1.8551552133668812,2.276592976909747,1.966847834468051,1.1365588606550485,1.1159679043083384
2021-05-21,2.368668917204969,2.1016304364680147,1.8338808449056716,2.2465007757683004,1.966847834468051,1.1365588606550485,1.1159679043083384
2021-05-24,2.4028887783914095,2.1319924263935617,1.8603746902418934,2.2791290503935184,1.966847834468051,1.1365588606550485,1.1159679043083384
2021-05-25,2.4642051419869992,2.1863961191384687,1.9078473040210748,2.344664932941357,1.966847834468051,1.1365588606550485,1.1159679043083384
2021-05-26,2.4561245388684383,2.179226505295169,1.901591105374326,2.3382347922788624,1.966847834468051,1.1365588606550485,1.1159679043083384
