trade_week,BASE_A_cash,B_A_red,C_ens_cash,BC_ens_red
2022-12-30,2.042549766092463,2.038897408237492,2.0465031277724535,2.0384357415862406
2023-01-06,2.042549766092463,2.0670129369524712,2.0465031277724535,2.06654490411431
2023-01-13,2.042549766092463,2.0695735518839236,2.0465031277724535,2.0691049392468397
2023-01-20,2.042549766092463,2.1041801556505852,2.0465031277724535,2.1037037070552986
2023-02-03,2.093229380308849,2.1509669131811076,2.099275071072656,2.152335002890109
2023-02-10,2.118295756710288,2.1738873750377112,2.1074646865586706,2.1597915156544083
2023-02-17,2.0810258504226438,2.1398689982246095,2.0683480062962896,2.124087466970147
2023-02-24,2.1163271061863194,2.1725738809035735,2.0988157944252017,2.1522772631809675
2023-03-03,2.187726217624741,2.240598395146123,2.161062460177765,2.211677013465188
2023-03-10,2.126130020000008,2.18398956914737,2.0726477594823214,2.129646666046458
2023-03-17,2.125598487495008,2.2104168356112632,2.072129597542451,2.1550428789948817
2023-03-24,2.125598487495008,2.194870135536331,2.072129597542451,2.1402036046574104
2023-03-31,2.2030819253651193,2.2660056610143724,2.125965944503332,2.1887100978775913
2023-04-07,2.370236893900301,2.427267680985867,2.261827440138569,2.3192884412075854
2023-04-14,2.2932106799788365,2.3645062806058625,2.200777420957493,2.2676653859386127
2023-04-21,2.2501523759474016,2.3301463883196902,2.1477004073168446,2.223412118258906
2023-04-28,2.304970540223642,2.3743931112599554,2.2224074292764717,2.2846161233611775
2023-05-05,2.328258437070714,2.3934304652058587,2.261708882476536,2.3160162427610738
2023-05-12,2.327701009688421,2.363366091134659,2.2611434552559166,2.28640661060859
2023-05-19,2.327701009688421,2.335485264805948,2.2611434552559166,2.2588429986323586
2023-05-26,2.327701009688421,2.290753801198932,2.2611434552559166,2.214446903366803
2023-06-02,2.327701009688421,2.2944968989718006,2.2611434552559166,2.2181625648042758
2023-06-09,2.327701009688421,2.3209620966017126,2.2611434552559166,2.2444813907521315
2023-06-16,2.327701009688421,2.299021842699725,2.2611434552559166,2.222655453883478
2023-06-21,2.3531642845116414,2.319945568647649,2.2683146154027947,2.228149692427896
2023-06-30,2.3526009824090806,2.3420444483282044,2.2677515999142908,2.250047125849048
2023-07-07,2.3526009824090806,2.354932361052123,2.2677515999142908,2.262800144225144
2023-07-14,2.3526009824090806,2.3778798551776332,2.2677515999142908,2.285512320483573
2023-07-21,2.3526009824090806,2.373571004229121,2.2677515999142908,2.2812429941798884
2023-07-28,2.3526009824090806,2.4510015351564984,2.2677515999142908,2.3579761893383377
2023-08-04,2.356799905015572,2.454374322846466,2.300852144042768,2.3880765039759217
2023-08-11,2.255400027466463,2.360393268540312,2.209048477612246,2.3032272208413325
2023-08-18,2.254851431581927,2.359408191097603,2.208496215492843,2.302405219693827
2023-08-25,2.254851431581927,2.345112254119931,2.208496215492843,2.2879014204930446
2023-09-01,2.254851431581927,2.363347788708237,2.208496215492843,2.306382156908268
2023-09-08,2.254851431581927,2.3553054585091138,2.208496215492843,2.298273600744636
2023-09-15,2.254851431581927,2.392561809114621,2.208496215492843,2.337296768811236
2023-09-22,2.254851431581927,2.4021667162563958,2.208496215492843,2.3473686314575515
2023-09-28,2.254851431581927,2.385625481142241,2.208496215492843,2.3300016672361936
2023-10-13,2.254851431581927,2.365583529445274,2.208496215492843,2.3094049004783783
2023-10-20,2.254851431581927,2.3017608906251743,2.208496215492843,2.2471253054088534
2023-10-27,2.254851431581927,2.333641235370675,2.208496215492843,2.2782489245973414
2023-11-03,2.254851431581927,2.3001668733878993,2.208496215492843,2.245569124449429
2023-11-10,2.254851431581927,2.3001668733878997,2.208496215492843,2.2455691244494296
2023-11-17,2.254851431581927,2.3001668733878993,2.208496215492843,2.245569124449429
2023-11-24,2.254851431581927,2.3288591836588495,2.208496215492843,2.273580381719068
2023-12-01,2.254851431581927,2.324750313475556,2.208496215492843,2.2695690414434013
2023-12-08,2.254851431581927,2.2904426841129513,2.208496215492843,2.236075752708116
2023-12-15,2.254851431581927,2.288808987476637,2.208496215492843,2.234480834196912
2023-12-22,2.254851431581927,2.2643035379319194,2.208496215492843,2.210557056528851
2023-12-29,2.254851431581927,2.274105717749806,2.208496215492843,2.220126567596075
2024-01-05,2.254851431581927,2.332918796657128,2.208496215492843,2.2775436339994215
2024-01-12,2.254851431581927,2.3002448639308373,2.208496215492843,2.2456452637753395
2024-01-19,2.254851431581927,2.259402448022975,2.208496215492843,2.205772300995238
2024-01-26,2.254851431581927,2.3541568529292167,2.208496215492843,2.2982775746450748
2024-02-02,2.254851431581927,2.3002448639308373,2.208496215492843,2.2456452637753395
2024-02-08,2.254851431581927,2.396632965473394,2.208496215492843,2.33974545593638
2024-02-23,2.254851431581927,2.4946547636522647,2.208496215492843,2.4354405666086243
2024-03-01,2.254851431581927,2.471783010743861,2.208496215492843,2.413111707451767
2024-03-08,2.254851431581927,2.5191602131969826,2.208496215492843,2.4593643442766857
2024-03-15,2.254851431581927,2.450544954471773,2.208496215492843,2.392377766806115
2024-03-22,2.254851431581927,2.440742774653886,2.208496215492843,2.3828082557388908
2024-03-29,2.254851431581927,2.4603225056971536,2.208496215492843,2.4019232338756837
2024-04-03,2.254851431581927,2.499925282448818,2.208496215492843,2.4405859821070828
2024-04-12,2.254851431581927,2.5065257452407614,2.208496215492843,2.4470297734789823
2024-04-19,2.254851431581927,2.605532687119922,2.208496215492843,2.5436866440574804
2024-04-26,2.254851431581927,2.5099421305851304,2.208496215492843,2.4503650660333163
2024-04-30,2.254851431581927,2.511492279759522,2.208496215492843,2.4518784202010413
2024-05-10,2.254851431581927,2.568245170912125,2.208496215492843,2.507284200351164
2024-05-17,2.254851431581927,2.5949395882153334,2.208496215492843,2.533344987498734
