mom_w,turn_w,lambda,mu,top_n,gate,vol_target,rebalance_w,is_sharpe,is_calmar,is_ann_ret,is_max_dd,is_worst_year,ann_tov
4,4,0.5,0.0,5,none,none,2,0.8492177056517591,0.5736396010715094,0.1662554275592465,-0.28982557558560407,-0.5029013024469586,11.793103448275861
4,4,0.5,0.0,5,none,none,4,0.6859174840370819,0.5115677097484338,0.13208594880927715,-0.25819837001485324,-0.5665347074957227,8.537931034482758
4,4,0.5,0.0,5,none,0.15,1,0.8752542114205397,0.5186237414255981,0.13293285203580374,-0.2563184856720917,-0.6655290076440591,11.7836681428176
4,4,0.5,0.0,5,none,0.15,2,0.8914613595702219,0.558067089139894,0.13540793359474956,-0.24263737502142158,-0.5478546581445011,8.58361403906225
4,4,0.5,0.0,5,none,0.15,4,0.6940954158176226,0.44640233850741634,0.10357838075496661,-0.23202920733186483,-0.5540251228528955,6.472498863481288
4,4,0.5,0.0,5,none,0.2,1,0.8274573034700521,0.5265022758777436,0.15358642271546374,-0.2917108429577373,-0.5866064851178286,14.73894663222931
4,4,0.5,0.0,5,none,0.2,2,0.8407730725670874,0.5343568560837303,0.15462822991060077,-0.2893725946437029,-0.5419891296020511,10.434452579971815
4,4,0.5,0.0,5,none,0.2,4,0.6913206655954908,0.48876996754849605,0.12626753432457494,-0.25833734212003645,-0.5596000115983382,7.839235480353233
4,4,0.5,0.0,5,br30,none,1,0.7049141700151219,0.42647507407430296,0.12225237445190063,-0.28665772487937036,-2.023242331207793,14.000000000000002
4,4,0.5,0.0,5,br30,none,2,0.8047776949424448,0.5990635666336689,0.1389969861691278,-0.23202376827921056,-1.5178008933246576,9.337931034482759
4,4,0.5,0.0,5,br30,none,4,0.6986763548336936,0.4707772970141288,0.1202616127418541,-0.25545329714199205,-1.7867079401088797,6.565517241379309
4,4,0.5,0.0,5,br30,0.15,1,0.800650376131924,0.4505424783329719,0.1135439180665967,-0.25201601075821856,-1.9298448851989691,10.216704215932298
4,4,0.5,0.0,5,br30,0.15,2,0.8937693262837599,0.6138246271652552,0.12747453134674536,-0.20767255940095475,-1.5799007322254437,7.184330598957072
4,4,0.5,0.0,5,br30,0.15,4,0.7082556115923269,0.42705812478701943,0.09899598862087511,-0.23180916806171514,-1.8384436792998922,5.20854670279827
4,4,0.5,0.0,5,br30,0.2,1,0.7246446715949216,0.4215005369140554,0.11982345615688561,-0.28427830017525646,-2.0209538536939675,12.276835169599222
4,4,0.5,0.0,5,br30,0.2,2,0.8144221630172753,0.5804504523454497,0.1348188435176465,-0.23226589448397972,-1.5276363038638738,8.490445330069305
4,4,0.5,0.0,5,br30,0.2,4,0.6852176743727516,0.4416408068857426,0.11288020314802694,-0.2555927835201839,-1.7879857404702306,6.103036624949476
4,4,0.5,0.0,5,br40,none,1,0.8730783521092587,0.7465992931996549,0.14422923736023585,-0.19318158840215538,-1.5711121587447128,12.206896551724139
4,4,0.5,0.0,5,br40,none,2,0.9128945441684104,0.7453182020448921,0.1469524247561098,-0.19716736335289253,-0.861421948311332,8.455172413793106
4,4,0.5,0.0,5,br40,none,4,0.8211175487177064,0.6431059782823767,0.13346453955782667,-0.20753117536597476,-1.2899931840308927,5.76551724137931
4,4,0.5,0.0,5,br40,0.15,1,0.9837369010353166,0.8172247924353035,0.13678380376019383,-0.16737598397202624,-1.5448891067651858,9.17587968375546
4,4,0.5,0.0,5,br40,0.15,2,0.994697772744781,0.8107733287660384,0.13590484636674138,-0.16762372607098786,-0.9286048364806303,6.630695114539407
4,4,0.5,0.0,5,br40,0.15,4,0.8279540166061936,0.6108036082774357,0.11177467567980548,-0.18299609590556942,-1.3239729970344374,4.618369296122192
4,4,0.5,0.0,5,br40,0.2,1,0.8835463837523118,0.7337098180614656,0.14084342341246003,-0.19196066339221463,-1.5726413992051085,10.980474990850839
4,4,0.5,0.0,5,br40,0.2,2,0.8997409141676965,0.7205946736281426,0.1410613650980388,-0.19575688006102643,-0.866783369182292,7.782549279542101
4,4,0.5,0.0,5,br40,0.2,4,0.7892541434017524,0.5956764624997026,0.12369590137463926,-0.2076561844588597,-1.2899931840308927,5.377828949712992
4,4,0.5,0.0,5,mkt_ma20,none,1,0.7811046517327194,0.6184251350171984,0.12691547385145974,-0.2052236668031454,-1.303242562231847,11.820689655172414
4,4,0.5,0.0,5,mkt_ma20,none,2,0.6681480006269807,0.4574828154880118,0.10599580080008586,-0.2316935133115693,-1.5396809072763227,8.06896551724138
4,4,0.5,0.0,5,mkt_ma20,none,4,0.8649755229714033,0.6214207680908385,0.13613353892826296,-0.21906821580247404,-1.6939801543617998,5.434482758620691
4,4,0.5,0.0,5,mkt_ma20,0.15,1,0.8780620847365697,0.6778677581228527,0.12157502486582006,-0.17934917748925672,-1.3116372606528843,8.921816857223469
4,4,0.5,0.0,5,mkt_ma20,0.15,2,0.7411487205215987,0.4887167891450879,0.1013161789274788,-0.20731061665532535,-1.5396809072763227,6.42804913849023
4,4,0.5,0.0,5,mkt_ma20,0.15,4,0.8804290184320974,0.5765254769670356,0.11761881138944363,-0.2040132068546362,-1.6939801543617998,4.430556021192384
4,4,0.5,0.0,5,mkt_ma20,0.2,1,0.7903445243576982,0.6138910060266665,0.12444243724124382,-0.20271096337879602,-1.3047374041334978,10.629971577168776
4,4,0.5,0.0,5,mkt_ma20,0.2,2,0.6681196261899212,0.4502508539731767,0.10372645029017291,-0.2303747996807849,-1.5396809072763227,7.462114862826619
4,4,0.5,0.0,5,mkt_ma20,0.2,4,0.8518376711062788,0.5923318351273339,0.12975320676277424,-0.2190549267622618,-1.6939801543617998,5.077466395306138
4,4,0.5,0.0,5,mkt_ma50,none,1,1.0241836582109658,1.3588336342818634,0.1567972590708573,-0.11539106415607958,-0.7279923927971059,10.60689655172414
4,4,0.5,0.0,5,mkt_ma50,none,2,0.9255672575336119,1.0000331754537974,0.1435374455569438,-0.14353268379502415,-0.7586715391428648,7.3517241379310345
4,4,0.5,0.0,5,mkt_ma50,none,4,0.5791910860585093,0.34539687046367595,0.08658413045795887,-0.25068012440797316,-1.8783742731822224,5.172413793103448
4,4,0.5,0.0,5,mkt_ma50,0.15,1,1.0798673431729346,1.4774252474906155,0.13634329807436085,-0.09228439699804636,-0.746103929784136,7.230851029544754
4,4,0.5,0.0,5,mkt_ma50,0.15,2,0.9497300523783626,0.9391887993039749,0.1230055749636716,-0.13097001907904993,-0.7684928136729896,5.3725554747400865
4,4,0.5,0.0,5,mkt_ma50,0.15,4,0.48782388171975727,0.25418241224069266,0.058707779606745,-0.23096711959422633,-1.8783742731822224,3.885207191573178
4,4,0.5,0.0,5,mkt_ma50,0.2,1,1.007268559380583,1.2891741145639086,0.1477473893991117,-0.11460623334737874,-0.7461039297841361,9.031244057993561
4,4,0.5,0.0,5,mkt_ma50,0.2,2,0.8985452747865617,0.9420797106460206,0.13468875606153796,-0.14296959645715823,-0.7684928136729895,6.561784803229781
4,4,0.5,0.0,5,mkt_ma50,0.2,4,0.5398712126600751,0.3073379298916685,0.07708665478463894,-0.2508205050115705,-1.8783742731822224,4.707273352253969
4,4,0.5,0.3,3,none,none,1,0.6974311512437353,0.4479559572991035,0.15772768026643513,-0.3521053302146827,-0.7362594384479353,20.25287356321839
