trade_week,V1_BASE,V2_RED,V3_GOLD,V4_RED_GOLD,V5_HALF_RED,V6_HALF_GOLD,V7_ENS_GOLD,V8_A_vt10,V9_A_top5,V10_MA60_vt10
2023-08-04,2.356799905015572,2.454374322846466,3.2083498977777687,3.0473139171309276,2.4238974299687324,2.7642136731926357,3.1245238339419155,2.0088858158236316,2.0870483132280016,1.9052832077487876
2023-08-11,2.255400027466463,2.360393268540312,3.07923411378606,2.9224861597434053,2.322633987330885,2.6466863511027188,3.0078176325472286,1.9512650916936631,2.0032667975122673,1.8501974678072195
2023-08-18,2.254851431581927,2.359408191097603,3.0820135734074916,2.923179109731741,2.32183379046002,2.6476224035837084,3.010648235120808,1.9509486789402988,2.0027853405328737,1.8498958855637762
2023-08-25,2.254851431581927,2.345112254119931,3.098156621552583,2.921579699540602,2.3142326414410337,2.654912284135401,3.027075062561465,1.9509486789402988,2.0027853405328737,1.8498958855637762
2023-09-01,2.254851431581927,2.363347788708237,3.12096866652424,2.9445849300707203,2.323986536687001,2.6652029980068064,3.050274216207909,1.9509486789402988,2.0027853405328737,1.8498958855637762
2023-09-08,2.254851431581927,2.3553054585091138,3.1474811789938912,2.9519931427202275,2.319664825097558,2.6772015296869527,3.0771088015738033,1.9509486789402988,2.0027853405328737,1.8498958855637762
2023-09-15,2.254851431581927,2.392561809114621,3.1686077095627514,2.9871728799987016,2.3398294093974727,2.6867439605319254,3.0994676039906848,1.9509486789402988,2.0027853405328737,1.8498958855637762
2023-09-22,2.254851431581927,2.4021667162563958,3.1699084475984183,2.994341800874391,2.3450060134367687,2.6873228905594937,3.1008329278423106,1.9509486789402988,2.0027853405328737,1.8498958855637762
2023-09-28,2.254851431581927,2.385625481142241,3.088502865274814,2.9450062955691703,2.3361332016364535,2.651832323264242,3.0170266324952215,1.9509486789402988,2.0027853405328737,1.8498958855637762
2023-10-13,2.254851431581927,2.365583529445274,3.0682242635926986,2.9218480337715866,2.3252027234870707,2.642767989770996,2.9964185270820027,1.9509486789402988,2.0027853405328737,1.8498958855637762
2023-10-20,2.254851431581927,2.3017608906251743,3.2011365471749302,2.945749092569919,2.2938657595586736,2.7000219042674103,3.1262495911852803,1.9509486789402988,2.0027853405328737,1.8498958855637762
2023-10-27,2.254851431581927,2.333641235370675,3.198322979565899,2.964854466784273,2.3097512565085254,2.6988353422352116,3.1235018437968507,1.9509486789402988,2.0027853405328737,1.8498958855637762
2023-11-03,2.254851431581927,2.3001668733878993,3.2081704661975072,2.9481544657238086,2.293185417578649,2.702990136032363,3.1331189596563527,1.9509486789402988,2.0027853405328737,1.8498958855637762
2023-11-10,2.254851431581927,2.3001668733878997,3.168077127768817,2.9297325402089816,2.293185417578649,2.68610015162611,3.093963559371238,1.9509486789402988,2.0027853405328737,1.8498958855637762
2023-11-17,2.254851431581927,2.3001668733878993,3.181441573911714,2.9359120382400614,2.293185417578649,2.6917657713953034,3.1070153594662764,1.9509486789402988,2.0027853405328737,1.8498958855637762
2023-11-24,2.254851431581927,2.3288591836588495,3.1293905731446428,2.9302063721215994,2.307488029330698,2.6697460204464587,3.0561820327803373,1.9509486789402988,2.0027853405328737,1.8498958855637762
2023-12-01,2.254851431581927,2.324750313475556,3.1870687091297762,2.9546249255750894,2.3054524470961537,2.694349209216588,3.112510854243135,1.9509486789402988,2.0027853405328737,1.8498958855637762
2023-12-08,2.254851431581927,2.2904426841129513,3.19550941195687,2.9367359532481006,2.2884410270719022,2.6979170960528935,3.1207540964084233,1.9509486789402988,2.0027853405328737,1.8498958855637762
2023-12-15,2.254851431581927,2.288808987476637,3.1948060200546116,2.935365399685106,2.287624892611463,2.6976201648294666,3.1200671595613154,1.9509486789402988,2.0027853405328737,1.8498958855637762
2023-12-22,2.254851431581927,2.2643035379319194,3.2215349123404056,2.931930611681247,2.2753785066767125,2.708904793436195,3.1461707597513926,1.9509486789402988,2.0027853405328737,1.8498958855637762
2023-12-29,2.254851431581927,2.274105717749806,3.231382398972014,2.942757898491809,2.2803035683794755,2.71304504093708,3.1557878756108946,1.9509486789402988,2.0027853405328737,1.8498958855637762
2024-01-05,2.254851431581927,2.332918796657128,3.2433400613103953,2.9862556090858745,2.3097902524533476,2.7180648238817833,3.167465802011719,1.9509486789402988,2.0027853405328737,1.8498958855637762
