rebal_date,phase,top_n
2022-06-30,4,510180.SS;515220.SS;512690.SS
2022-07-29,4,512660.SS;510500.SS;515220.SS
2022-08-29,4,515220.SS;510880.SS;512660.SS
2022-09-28,4,515220.SS;510880.SS;518880.SS
2022-11-03,4,512660.SS;518880.SS;159980.SZ
2022-12-02,4,518880.SS;159980.SZ;510880.SS
2023-01-03,4,518880.SS;159980.SZ;512980.SS
2023-02-08,4,159980.SZ;512980.SS;512690.SS
2023-03-09,4,510880.SS;515880.SS;512980.SS
2023-04-10,4,518880.SS;515880.SS;512980.SS
2023-05-12,4,518880.SS;510880.SS;512980.SS
2023-06-12,4,515880.SS;518880.SS;512980.SS
2023-07-13,4,518880.SS;515880.SS;159980.SZ
2023-08-11,4,518880.SS;512880.SS;159980.SZ
2023-09-11,4,518880.SS;159980.SZ;510880.SS
2023-10-18,4,518880.SS;515220.SS;510880.SS
2023-11-16,4,518880.SS;515220.SS;512290.SS
2023-12-15,4,518880.SS;515220.SS;512980.SS
2024-01-16,4,518880.SS;510880.SS;515220.SS
2024-02-22,4,510880.SS;515220.SS;518880.SS
2024-03-22,4,518880.SS;512980.SS;515880.SS
2024-04-24,4,159980.SZ;518880.SS;510180.SS
2024-05-28,4,510880.SS;159980.SZ;518880.SS
2024-06-27,4,510880.SS;518880.SS;515880.SS
2024-07-26,4,518880.SS;512660.SS;512760.SS
2024-08-26,4,518880.SS;159980.SZ;510050.SS
2024-09-26,4,518880.SS;510050.SS;510180.SS
2024-11-01,4,518880.SS;515210.SS;512880.SS
2024-12-02,4,515210.SS;512980.SS;510500.SS
2024-12-31,4,510880.SS;518880.SS;512480.SS
2025-02-07,4,518880.SS;512480.SS;512760.SS
2025-03-10,4,518880.SS;512480.SS;515210.SS
2025-04-09,4,518880.SS;512760.SS;510050.SS
2025-05-13,4,510050.SS;515210.SS;518880.SS
2025-06-12,4,510880.SS;510180.SS;510050.SS
2025-07-11,4,515210.SS;510050.SS;510180.SS
2025-08-11,4,510500.SS;515880.SS;512980.SS
2025-09-09,4,518880.SS;512980.SS;512290.SS
2025-10-16,4,518880.SS;510050.SS;510180.SS
2025-11-14,4,515210.SS;510880.SS;510050.SS
2025-12-15,4,518880.SS;159980.SZ;515880.SS
2026-01-15,4,159980.SZ;512480.SS;159949.SZ
2026-02-13,4,159915.SZ;159949.SZ;510500.SS
2026-03-24,4,159949.SZ;159915.SZ;510880.SS
2026-04-23,4,510300.SS;159949.SZ;159915.SZ
2019-01-09,5,
2019-02-14,5,
2019-03-15,5,
2019-04-16,5,
2019-05-22,5,
2019-06-21,5,
2019-07-22,5,
2019-08-20,5,
2019-09-19,5,
2019-10-25,5,
2019-11-25,5,159949.SZ;510050.SS;512010.SS
2019-12-24,5,159949.SZ;159915.SZ;510300.SS
2020-01-23,5,159949.SZ;159915.SZ;512010.SS
2020-03-02,5,510300.SS;159915.SZ;510500.SS
2020-03-31,5,512290.SS;518880.SS;512010.SS
2020-04-30,5,518880.SS;512010.SS;512290.SS
2020-06-03,5,512290.SS;512010.SS;518880.SS
2020-07-06,5,159915.SZ;159949.SZ;510050.SS
2020-08-04,5,518880.SS;512010.SS;512290.SS
2020-09-02,5,510300.SS;510180.SS;512690.SS
2020-10-09,5,159949.SZ;510300.SS;510180.SS
2020-11-09,5,159949.SZ;510180.SS;510300.SS
2020-12-08,5,512690.SS;510300.SS;510180.SS
2021-01-07,5,159915.SZ;159949.SZ;510050.SS
2021-02-05,5,512010.SS;510050.SS;512690.SS
2021-03-15,5,515220.SS;515210.SS;510880.SS
2021-04-14,5,515210.SS;515220.SS;510880.SS
